Student ID,Student Name,Student ID.1,Attendance (%),Internal Marks,External Marks,Total Marks,Grade,Gender,Age,Religion/Caste,BPL Status,Parent Education Level,Family Income Range,DIKSHA Access,Digital Learning Hours,Participation in Quiz,Homework Submission Rate,Disciplinary Records,School Name,District,Student-Teacher Ratio,Electricity,Toilet Facilities,Library,Guardian Contact,Preferred Mode,Father Name,Mother Name,Class,Section,Class-Section,Teacher
S018,Adira Kaul,S018,66.73,28,25,53,C,Female,11,OBC,Yes,Secondary,"<₹10,000",No,0,Yes,59.5,1,Govt School ShikshaLens,Anantapur,49,No,Yes,Yes,9367046333,SMS,Amira Baral,Manjari Thaker,Class 1,A,Class 1-A,T.Sri Venkateshwar
S019,Anya Jayaraman,S019,60.24,31,35,66,B,Male,13,General,No,Secondary,₹10–20k,Yes,14,No,92.49,0,Govt School ShikshaLens,Anantapur,48,Yes,Yes,Yes,9561432656,SMS,Ivan Sanghvi,Madhup Kapoor,Class 1,A,Class 1-A,T.Sri Venkateshwar
S020,Nitya Sangha,S020,50.39,37,48,85,A,Male,11,ST,No,,"<₹10,000",Yes,6,No,87.22,0,Govt School ShikshaLens,Anantapur,36,No,No,Yes,9454614554,WhatsApp,Shamik Barman,Raunak Setty,Class 1,A,Class 1-A,T.Sri Venkateshwar
S021,Badal Borah,S021,72.83,11,22,33,F,Female,13,General,No,,"<₹10,000",Yes,1,No,53.93,1,Govt School ShikshaLens,Anantapur,42,Yes,No,Yes,9969764049,WhatsApp,Chirag Varma,Bhamini Dara,Class 1,A,Class 1-A,T.Sri Venkateshwar
S022,Neelofar Kumar,S022,39.76,19,39,58,C,Male,12,OBC,Yes,Primary,"<₹10,000",Yes,13,Yes,48.16,0,Govt School ShikshaLens,Anantapur,39,Yes,Yes,Yes,9144143020,SMS,Ishaan Hari,Ehsaan Ganesh,Class 1,A,Class 1-A,T.Sri Venkateshwar
S023,Sana Dhar,S023,50.45,22,55,77,B,Female,12,SC,Yes,Primary,₹10–20k,No,4,Yes,56.58,0,Govt School ShikshaLens,Anantapur,40,Yes,No,Yes,9436493131,WhatsApp,Badal Dutt,Kanav Desai,Class 1,A,Class 1-A,T.Sri Venkateshwar
S024,Hiran Bal,S024,55.65,39,38,77,B,Male,12,ST,No,Secondary,₹10–20k,No,7,No,71.32,0,Govt School ShikshaLens,Anantapur,51,Yes,Yes,No,9728359490,WhatsApp,Armaan Aggarwal,Aradhya Rajagopal,Class 1,A,Class 1-A,T.Sri Venkateshwar
S025,Faiyaz Master,S025,61.92,34,45,79,B,Female,13,SC,Yes,Secondary,₹10–20k,Yes,7,No,48.76,3,Govt School ShikshaLens,Anantapur,32,Yes,Yes,No,9807880109,WhatsApp,Faiyaz Bhakta,Zoya Thakkar,Class 1,A,Class 1-A,T.Sri Venkateshwar
S026,Shalv Bava,S026,84.96,30,22,52,C,Male,11,SC,No,,"<₹10,000",No,2,Yes,73.69,2,Govt School ShikshaLens,Anantapur,49,Yes,Yes,Yes,9197461757,SMS,Kabir Datta,Sumer Chandran,Class 1,B,Class 1-B,M.Anitha Sree
S027,Taimur Thaman,S027,43.98,15,38,53,C,Female,11,ST,No,Secondary,"<₹10,000",No,6,No,58.66,0,Govt School ShikshaLens,Anantapur,41,Yes,Yes,No,9006724064,SMS,Nakul Sharaf,Nitya Buch,Class 1,B,Class 1-B,M.Anitha Sree
S028,Samarth Sharaf,S028,66,37,39,76,B,Male,13,General,Yes,Primary,"<₹10,000",Yes,2,No,68.64,1,Govt School ShikshaLens,Anantapur,53,Yes,Yes,No,9778602727,SMS,Kimaya Rout,Alia Balan,Class 1,B,Class 1-B,M.Anitha Sree
S029,Ritvik Seshadri,S029,71.47,37,51,88,A,Male,12,SC,No,Primary,"<₹10,000",Yes,5,Yes,60.53,2,Govt School ShikshaLens,Anantapur,32,No,Yes,Yes,9043479332,WhatsApp,Damini Dalal,Nishith Chad,Class 1,B,Class 1-B,M.Anitha Sree
S030,Gokul Kunda,S030,33.25,21,26,47,C,Female,12,OBC,No,,"<₹10,000",Yes,5,Yes,50.61,0,Govt School ShikshaLens,Anantapur,39,No,Yes,Yes,9622944579,SMS,Aaryahi Choudhury,Mehul Date,Class 1,B,Class 1-B,M.Anitha Sree
S031,Vritika Bhalla,S031,72.53,21,60,81,A,Male,11,SC,Yes,Primary,"<₹10,000",Yes,2,Yes,96.39,0,Govt School ShikshaLens,Anantapur,51,Yes,Yes,Yes,9507788112,WhatsApp,Divit Raju,Trisha Gole,Class 1,B,Class 1-B,M.Anitha Sree
S032,Adira Ranganathan,S032,41.94,29,52,81,A,Female,12,ST,No,Primary,"<₹10,000",Yes,6,Yes,83.45,2,Govt School ShikshaLens,Anantapur,31,Yes,Yes,Yes,9033888961,SMS,Shray Chanda,Umang Sachdeva,Class 1,B,Class 1-B,M.Anitha Sree
S033,Yashvi Hari,S033,34.55,39,59,98,A,Male,10,ST,Yes,Primary,>₹20k,Yes,2,Yes,39.81,0,Govt School ShikshaLens,Anantapur,27,Yes,Yes,No,9943715419,SMS,Sahil Mand,Trisha Mander,Class 1,B,Class 1-B,M.Anitha Sree
S034,Mehul Ganesh,S034,96.42,39,58,97,A,Female,11,ST,No,Primary,"<₹10,000",Yes,7,No,90.79,0,Govt School ShikshaLens,Anantapur,53,Yes,Yes,Yes,9071688798,WhatsApp,Adah Bal,Divyansh Sethi,Class 1,B,Class 1-B,M.Anitha Sree
S035,Arnav Yadav,S035,97.59,20,37,57,C,Male,12,General,Yes,,"<₹10,000",Yes,9,Yes,64.12,0,Govt School ShikshaLens,Anantapur,48,Yes,Yes,No,9153342074,SMS,Gatik Apte,Kavya Vaidya,Class 1,B,Class 1-B,M.Anitha Sree
S036,Onkar Tiwari,S036,86.59,35,59,94,A,Female,11,SC,No,,₹10–20k,No,3,Yes,92.62,2,Govt School ShikshaLens,Anantapur,27,Yes,No,No,9296608144,WhatsApp,Lakshay Sinha,Kiara Rao,Class 1,B,Class 1-B,M.Anitha Sree
S037,Lakshit Vaidya,S037,51.32,32,20,52,C,Male,10,General,Yes,Secondary,"<₹10,000",Yes,14,Yes,85.99,3,Govt School ShikshaLens,Anantapur,44,Yes,Yes,Yes,9776655851,WhatsApp,Rohan Sane,Nirvi Vyas,Class 1,B,Class 1-B,M.Anitha Sree
S038,Aradhya Bhavsar,S038,36.84,37,30,67,B,Female,11,General,Yes,Primary,₹10–20k,No,14,Yes,59.76,2,Govt School ShikshaLens,Anantapur,39,No,Yes,No,9143126754,SMS,Charvi Bora,Pari Ratti,Class 1,B,Class 1-B,M.Anitha Sree
S039,Advika Bora,S039,77.9,34,47,81,A,Male,11,ST,No,Secondary,₹10–20k,Yes,12,No,31.57,0,Govt School ShikshaLens,Anantapur,49,Yes,Yes,Yes,9072526684,WhatsApp,Aniruddh Koshy,Bhamini Vala,Class 1,B,Class 1-B,M.Anitha Sree
S040,Ayesha Mani,S040,60.81,16,44,60,C,Female,11,ST,Yes,,>₹20k,No,0,Yes,48.81,1,Govt School ShikshaLens,Anantapur,54,Yes,Yes,No,9799704203,SMS,Ayesha Gola,Anay Kuruvilla,Class 1,B,Class 1-B,M.Anitha Sree
S041,Seher Jain,S041,38.54,39,69,108,A+,Female,11,General,Yes,,"<₹10,000",Yes,3,Yes,67.91,1,Govt School ShikshaLens,Anantapur,38,Yes,Yes,Yes,9729189461,SMS,Ishita Rajagopal,Taimur Chandra,Class 1,B,Class 1-B,M.Anitha Sree
S042,Mannat Desai,S042,64.66,10,42,52,C,Female,10,SC,No,,>₹20k,Yes,13,No,74.34,0,Govt School ShikshaLens,Anantapur,31,Yes,Yes,No,9883359995,WhatsApp,Adira Shetty,Taimur Chowdhury,Class 1,B,Class 1-B,M.Anitha Sree
S043,Ivana Karnik,S043,32.41,10,50,60,C,Male,13,OBC,No,,"<₹10,000",No,6,Yes,48.05,1,Govt School ShikshaLens,Anantapur,41,Yes,Yes,No,9081483265,SMS,Kashvi Biswas,Alisha Bal,Class 1,B,Class 1-B,M.Anitha Sree
S044,Rasha Sahota,S044,93.65,34,49,83,A,Female,11,General,Yes,,"<₹10,000",No,10,Yes,39.75,0,Govt School ShikshaLens,Anantapur,44,No,No,Yes,9724933397,WhatsApp,Jayan Kara,Mehul Raman,Class 1,B,Class 1-B,M.Anitha Sree
S045,Ritvik Buch,S045,48.11,36,61,97,A,Male,11,SC,Yes,,"<₹10,000",No,3,Yes,88.45,0,Govt School ShikshaLens,Anantapur,33,Yes,Yes,No,9529454576,SMS,Azad Chakrabarti,Vihaan Yohannan,Class 1,B,Class 1-B,M.Anitha Sree
S046,Shamik Krishnamurthy,S046,76.38,39,54,93,A,Female,12,ST,Yes,,>₹20k,Yes,12,Yes,98.91,0,Govt School ShikshaLens,Anantapur,46,No,Yes,No,9495383066,SMS,Anya Johal,Rasha Sandal,Class 1,B,Class 1-B,M.Anitha Sree
S047,Armaan Tandon,S047,51.82,34,26,60,C,Male,11,ST,Yes,Primary,"<₹10,000",Yes,5,Yes,66.8,0,Govt School ShikshaLens,Anantapur,26,Yes,Yes,No,9327496337,SMS,Ehsaan Bobal,Nitya Kala,Class 1,B,Class 1-B,M.Anitha Sree
S048,Indrans Sharma,S048,66.4,29,35,64,B,Female,12,SC,Yes,Secondary,"<₹10,000",No,8,Yes,42.02,0,Govt School ShikshaLens,Anantapur,48,Yes,Yes,No,9711220257,SMS,Indrajit Dayal,Vaibhav Suresh,Class 1,B,Class 1-B,M.Anitha Sree
S049,Taran Bahri,S049,68.27,22,45,67,B,Male,13,OBC,Yes,,₹10–20k,No,0,Yes,49.06,0,Govt School ShikshaLens,Anantapur,32,Yes,Yes,No,9954323606,SMS,Ivan Chand,Shaan Kalita,Class 1,B,Class 1-B,M.Anitha Sree
S050,Bhavin Krishnan,S050,42.94,18,67,85,A,Male,10,ST,No,Primary,"<₹10,000",No,12,No,31.29,0,Govt School ShikshaLens,Anantapur,35,Yes,Yes,Yes,9013085005,WhatsApp,Anay Ghose,Shayak Vasa,Class 1,B,Class 1-B,M.Anitha Sree
S051,Sumer Sampath,S051,97.87,12,68,80,B,Female,10,ST,No,Primary,"<₹10,000",No,4,Yes,94,1,Govt School ShikshaLens,Anantapur,37,No,No,Yes,9335689483,WhatsApp,Navya Bhalla,Zain Saxena,Class 2,A,Class 2-A,P.Bhargahav Kumar
S052,Shalv Acharya,S052,84.26,16,21,37,F,Male,13,ST,No,Secondary,"<₹10,000",Yes,10,Yes,38.24,0,Govt School ShikshaLens,Anantapur,41,No,Yes,No,9912055024,WhatsApp,Dhruv Mani,Hunar Kurian,Class 2,A,Class 2-A,P.Bhargahav Kumar
S053,Kimaya Chatterjee,S053,95.76,15,20,35,F,Male,10,SC,Yes,,"<₹10,000",No,6,No,70.36,0,Govt School ShikshaLens,Anantapur,32,Yes,Yes,Yes,9292924430,WhatsApp,Hiran Bhardwaj,Manikya Krishna,Class 2,A,Class 2-A,P.Bhargahav Kumar
S054,Lakshit Shankar,S054,92.64,17,67,84,A,Female,13,General,Yes,Secondary,"<₹10,000",Yes,0,Yes,49.18,0,Govt School ShikshaLens,Anantapur,45,Yes,Yes,No,9494359366,WhatsApp,Aarush Verma,Rasha Vaidya,Class 2,A,Class 2-A,P.Bhargahav Kumar
S055,Pranay Sharma,S055,71.85,36,31,67,B,Male,13,ST,Yes,,"<₹10,000",Yes,13,No,68.79,1,Govt School ShikshaLens,Anantapur,42,Yes,Yes,No,9120783585,WhatsApp,Piya Ramakrishnan,Yashvi Kunda,Class 2,A,Class 2-A,P.Bhargahav Kumar
S056,Saksham Tandon,S056,94.53,18,24,42,C,Male,13,General,Yes,Primary,₹10–20k,Yes,3,Yes,75.6,0,Govt School ShikshaLens,Anantapur,54,No,Yes,Yes,9837834795,SMS,Keya Talwar,Anahi Karan,Class 2,A,Class 2-A,P.Bhargahav Kumar
S057,Parinaaz Sandal,S057,36.19,39,56,95,A,Male,10,OBC,Yes,Primary,"<₹10,000",No,5,No,88.08,0,Govt School ShikshaLens,Anantapur,42,Yes,Yes,Yes,9626795985,SMS,Lavanya Sangha,Hridaan Sehgal,Class 2,A,Class 2-A,P.Bhargahav Kumar
S058,Oorja Majumdar,S058,43.72,14,51,65,B,Female,12,ST,No,Primary,"<₹10,000",Yes,1,Yes,44.45,1,Govt School ShikshaLens,Anantapur,55,Yes,Yes,No,9837319843,WhatsApp,Amani Wali,Misha Biswas,Class 2,A,Class 2-A,P.Bhargahav Kumar
S059,Saira Raju,S059,33.17,10,28,38,F,Male,13,ST,Yes,Primary,₹10–20k,Yes,9,Yes,30.77,0,Govt School ShikshaLens,Anantapur,56,Yes,Yes,Yes,9106517376,WhatsApp,Krish Jain,Farhan Shukla,Class 2,A,Class 2-A,P.Bhargahav Kumar
S060,Nakul Ratta,S060,52.77,28,60,88,A,Female,11,OBC,Yes,Secondary,"<₹10,000",No,4,Yes,39.58,0,Govt School ShikshaLens,Anantapur,35,Yes,No,No,9499784941,SMS,Anay Edwin,Hansh Lad,Class 2,A,Class 2-A,P.Bhargahav Kumar
S061,Divyansh Thaman,S061,57.21,19,54,73,B,Male,10,ST,Yes,,₹10–20k,Yes,10,No,93,0,Govt School ShikshaLens,Anantapur,49,Yes,Yes,Yes,9426947022,SMS,Vidur Mangat,Shalv Chauhan,Class 2,A,Class 2-A,P.Bhargahav Kumar
S062,Nitya Uppal,S062,48.99,21,38,59,C,Male,13,General,No,,"<₹10,000",No,9,Yes,91.17,1,Govt School ShikshaLens,Anantapur,57,Yes,No,No,9848801439,SMS,Badal Bahri,Madhup Bhasin,Class 2,A,Class 2-A,P.Bhargahav Kumar
S063,Shayak Hayre,S063,88.01,33,67,100,A,Male,13,SC,Yes,Secondary,"<₹10,000",Yes,0,Yes,71.82,0,Govt School ShikshaLens,Anantapur,32,No,Yes,Yes,9865600719,WhatsApp,Miraan Chaudry,Divit Ganesan,Class 2,A,Class 2-A,P.Bhargahav Kumar
S064,Advika Grewal,S064,54.97,24,35,59,C,Female,11,General,Yes,,"<₹10,000",Yes,5,Yes,72.04,1,Govt School ShikshaLens,Anantapur,35,Yes,Yes,No,9865001551,WhatsApp,Lavanya Karpe,Emir Andra,Class 2,A,Class 2-A,P.Bhargahav Kumar
S065,Eva Chandran,S065,49.67,36,22,58,C,Male,12,SC,Yes,Primary,"<₹10,000",No,5,No,76.55,0,Govt School ShikshaLens,Anantapur,46,Yes,Yes,Yes,9094415819,WhatsApp,Advik Sunder,Shamik Bora,Class 2,A,Class 2-A,P.Bhargahav Kumar
S066,Khushi Jain,S066,67.99,31,39,70,B,Male,12,SC,No,,"<₹10,000",Yes,12,Yes,42.28,2,Govt School ShikshaLens,Anantapur,48,No,Yes,No,9126577592,SMS,Kismat Wagle,Ritvik Vaidya,Class 2,A,Class 2-A,P.Bhargahav Kumar
S067,Lakshit Basu,S067,39.86,33,43,76,B,Female,12,General,Yes,Primary,"<₹10,000",Yes,14,No,94.01,1,Govt School ShikshaLens,Anantapur,41,Yes,Yes,Yes,9206439335,SMS,Divit Deep,Saira Ghosh,Class 2,A,Class 2-A,P.Bhargahav Kumar
S068,Abram Rajagopalan,S068,86.15,18,52,70,B,Male,13,General,No,Secondary,"<₹10,000",Yes,14,Yes,59.31,3,Govt School ShikshaLens,Anantapur,36,No,Yes,No,9774538799,WhatsApp,Sara Balay,Rhea Mane,Class 2,A,Class 2-A,P.Bhargahav Kumar
S069,Alia Ravi,S069,35.22,29,43,72,B,Female,13,General,No,,"<₹10,000",Yes,3,Yes,56.82,0,Govt School ShikshaLens,Anantapur,56,Yes,Yes,No,9018727093,WhatsApp,Shamik Khurana,Lakshit Choudhary,Class 2,A,Class 2-A,P.Bhargahav Kumar
S070,Amira Batra,S070,99.08,26,30,56,C,Female,13,General,Yes,Secondary,"<₹10,000",No,12,Yes,66.32,1,Govt School ShikshaLens,Anantapur,39,Yes,Yes,Yes,9256368124,SMS,Madhav Uppal,Himmat Varkey,Class 2,A,Class 2-A,P.Bhargahav Kumar
S071,Shanaya Chadha,S071,84.06,39,68,107,A+,Male,10,OBC,Yes,,"<₹10,000",Yes,7,Yes,33.29,0,Govt School ShikshaLens,Anantapur,40,No,Yes,Yes,9279778344,SMS,Stuvan Bhatt,Ira Varma,Class 2,A,Class 2-A,P.Bhargahav Kumar
S072,Raunak Kohli,S072,43.91,26,27,53,C,Female,11,ST,No,Primary,"<₹10,000",No,3,Yes,41.64,0,Govt School ShikshaLens,Anantapur,46,Yes,Yes,Yes,9768719351,SMS,Damini Rattan,Riaan Dey,Class 2,A,Class 2-A,P.Bhargahav Kumar
S073,Azad Bajaj,S073,30.39,35,55,90,A,Male,13,SC,Yes,Secondary,"<₹10,000",Yes,7,Yes,81.66,0,Govt School ShikshaLens,Anantapur,52,Yes,Yes,No,9622175006,SMS,Anay Hora,Taran Kulkarni,Class 2,A,Class 2-A,P.Bhargahav Kumar
S074,Vivaan Shah,S074,87.08,29,57,86,A,Female,11,General,Yes,,₹10–20k,No,14,No,35.8,1,Govt School ShikshaLens,Anantapur,44,Yes,Yes,No,9744355286,WhatsApp,Heer Lad,Arnav D’Alia,Class 2,A,Class 2-A,P.Bhargahav Kumar
S075,Samiha Bawa,S075,79.48,21,59,80,B,Female,11,General,No,Primary,"<₹10,000",No,12,Yes,72.22,3,Govt School ShikshaLens,Anantapur,57,Yes,Yes,No,9064413596,SMS,Kabir Bhatti,Urvi Lata,Class 2,A,Class 2-A,P.Bhargahav Kumar
S076,Seher Gupta,S076,81.03,39,39,78,B,Male,12,General,No,Secondary,₹10–20k,No,7,Yes,47.17,1,Govt School ShikshaLens,Anantapur,34,Yes,Yes,Yes,9482038319,SMS,Kanav Ganguly,Umang Gaba,Class 2,B,Class 2-B,V.Kasi Reddy
S077,Dhanuk Ganesan,S077,83.99,16,54,70,B,Female,10,OBC,No,Secondary,₹10–20k,Yes,4,Yes,57.25,0,Govt School ShikshaLens,Anantapur,56,Yes,Yes,Yes,9428351528,SMS,Raghav Chana,Dishani Banik,Class 2,B,Class 2-B,V.Kasi Reddy
S078,Ivan Chakrabarti,S078,35.18,11,67,78,B,Female,13,General,No,,"<₹10,000",Yes,12,Yes,50.21,0,Govt School ShikshaLens,Anantapur,57,No,Yes,No,9184715294,WhatsApp,Shaan Suri,Drishya Virk,Class 2,B,Class 2-B,V.Kasi Reddy
S079,Shamik Vyas,S079,55.09,12,44,56,C,Female,12,General,Yes,,₹10–20k,Yes,14,Yes,54.9,1,Govt School ShikshaLens,Anantapur,26,Yes,Yes,Yes,9790423182,WhatsApp,Shayak Acharya,Purab Arya,Class 2,B,Class 2-B,V.Kasi Reddy
S080,Ishita Kibe,S080,38.11,26,54,80,B,Female,12,General,Yes,,>₹20k,No,3,Yes,80.33,0,Govt School ShikshaLens,Anantapur,57,Yes,Yes,No,9198650420,SMS,Arhaan Aggarwal,Saanvi Vaidya,Class 2,B,Class 2-B,V.Kasi Reddy
S081,Faiyaz Boase,S081,90.42,14,44,58,C,Female,13,ST,No,Primary,"<₹10,000",No,11,Yes,50.8,0,Govt School ShikshaLens,Anantapur,57,Yes,Yes,Yes,9311277658,SMS,Yakshit Ramakrishnan,Diya Khurana,Class 2,B,Class 2-B,V.Kasi Reddy
S082,Bhamini Kale,S082,73.63,26,48,74,B,Male,11,OBC,Yes,,"<₹10,000",No,12,No,69.65,0,Govt School ShikshaLens,Anantapur,37,Yes,Yes,No,9307662398,SMS,Onkar Raju,Ela Barad,Class 2,B,Class 2-B,V.Kasi Reddy
S083,Zara Sur,S083,53.16,33,37,70,B,Female,12,General,Yes,Secondary,₹10–20k,Yes,1,No,63.32,0,Govt School ShikshaLens,Anantapur,54,Yes,Yes,Yes,9542844330,WhatsApp,Adah Tailor,Khushi Shere,Class 2,B,Class 2-B,V.Kasi Reddy
S084,Inaaya  Gulati,S084,34.45,26,65,91,A,Male,11,SC,No,Secondary,₹10–20k,No,10,Yes,76.46,0,Govt School ShikshaLens,Anantapur,57,No,Yes,Yes,9682120561,WhatsApp,Kismat Doshi,Jiya Balasubramanian,Class 2,B,Class 2-B,V.Kasi Reddy
S085,Ryan Suresh,S085,51.77,36,37,73,B,Female,10,SC,Yes,,"<₹10,000",No,14,Yes,95.58,0,Govt School ShikshaLens,Anantapur,37,Yes,Yes,No,9753472230,WhatsApp,Saira Kaul,Mahika Khurana,Class 2,B,Class 2-B,V.Kasi Reddy
S086,Romil Thaker,S086,52.76,26,21,47,C,Male,11,SC,Yes,,"<₹10,000",Yes,2,No,81.28,0,Govt School ShikshaLens,Anantapur,50,Yes,Yes,No,9877956582,SMS,Onkar Bhakta,Dishani Savant,Class 2,B,Class 2-B,V.Kasi Reddy
S087,Inaaya  Chowdhury,S087,81.07,11,54,65,B,Male,10,OBC,Yes,Secondary,"<₹10,000",Yes,2,Yes,45.05,0,Govt School ShikshaLens,Anantapur,46,Yes,Yes,No,9229283686,WhatsApp,Keya Bhargava,Kabir Gade,Class 2,B,Class 2-B,V.Kasi Reddy
S088,Madhav Hari,S088,74.63,11,35,46,C,Female,11,OBC,Yes,Primary,"<₹10,000",No,3,Yes,32.18,3,Govt School ShikshaLens,Anantapur,26,Yes,Yes,Yes,9823754370,SMS,Yuvaan Din,Emir Saxena,Class 2,B,Class 2-B,V.Kasi Reddy
S089,Elakshi Yohannan,S089,92.1,37,60,97,A,Female,12,SC,Yes,,₹10–20k,No,3,Yes,48.36,0,Govt School ShikshaLens,Anantapur,50,Yes,Yes,Yes,9807384288,SMS,Rasha Warrior,Miraya Yogi,Class 2,B,Class 2-B,V.Kasi Reddy
S090,Hazel Ghosh,S090,63.06,31,55,86,A,Female,12,General,Yes,,"<₹10,000",No,9,No,71.66,0,Govt School ShikshaLens,Anantapur,39,Yes,Yes,No,9337185876,SMS,Shamik Vasa,Khushi Comar,Class 2,B,Class 2-B,V.Kasi Reddy
S091,Neelofar Kala,S091,38.37,32,52,84,A,Male,10,OBC,Yes,Secondary,"<₹10,000",Yes,10,No,33.6,0,Govt School ShikshaLens,Anantapur,58,No,Yes,No,9021444342,WhatsApp,Akarsh Wadhwa,Kanav Gola,Class 2,B,Class 2-B,V.Kasi Reddy
